contest,rank,handle,country
Code Contest 75,8,user0758,Australia
Code Contest 75,9,user0759,Slovakia
Code Contest 75,10,user07510,Japan
Code Contest 76,1,user0761,Norway
Code Contest 76,2,user0762,Mexico
Code Contest 76,3,user0763,South Korea
Code Contest 76,4,user0764,Philippines
Code Contest 76,5,user0765,United Kingdom
Code Contest 76,6,user0766,Turkey
Code Contest 76,7,user0767,Indonesia
Code Contest 76,8,user0768,South Africa
Code Contest 76,9,user0769,Switzerland
Code Contest 76,10,user07610,Belgium
Code Contest 77,1,user0771,Indonesia
Code Contest 77,2,user0772,Sweden
Code Contest 77,3,user0773,Switzerland
Code Contest 77,4,user0774,Israel
Code Contest 77,5,user0775,New Zealand
Code Contest 77,6,user0776,South Korea
Code Contest 77,7,user0777,Netherlands
Code Contest 77,8,user0778,Japan
Code Contest 77,9,user0779,Canada
Code Contest 77,10,user07710,India
Code Contest 78,1,user0781,Spain
Code Contest 78,2,user0782,Canada
Code Contest 78,3,user0783,Singapore
Code Contest 78,4,user0784,Germany
Code Contest 78,5,user0785,India
Code Contest 78,6,user0786,Italy
Code Contest 78,7,user0787,Turkey
Code Contest 78,8,user0788,New Zealand
Code Contest 78,9,user0789,Philippines
Code Contest 78,10,user07810,South Africa
Code Contest 79,1,user0791,Vietnam
Code Contest 79,2,user0792,Slovakia
Code Contest 79,3,user0793,Brazil
Code Contest 79,4,user0794,India
Code Contest 79,5,user0795,Slovakia
Code Contest 79,6,user0796,Japan
Code Contest 79,7,user0797,United Kingdom
Code Contest 79,8,user0798,Germany
Code Contest 79,9,user0799,South Korea
Code Contest 79,10,user07910,Poland
Code Contest 80,1,user0801,Singapore
Code Contest 80,2,user0802,China
Code Contest 80,3,user0803,New Zealand
Code Contest 80,4,user0804,Czech Republic
Code Contest 80,5,user0805,Hungary
Code Contest 80,6,user0806,Indonesia
Code Contest 80,7,user0807,Slovakia
Code Contest 80,8,user0808,China
Code Contest 80,9,user0809,Ireland
Code Contest 80,10,user08010,Brazil
Code Contest 81,1,user0811,Poland
Code Contest 81,2,user0812,Malaysia
Code Contest 81,3,user0813,Slovakia
Code Contest 81,4,user0814,Turkey
Code Contest 81,5,user0815,Turkey
Code Contest 81,6,user0816,Greece
Code Contest 81,7,user0817,Sweden
Code Contest 81,8,user0818,Germany
Code Contest 81,9,user0819,Hungary
Code Contest 81,10,user08110,Netherlands
Code Contest 82,1,user0821,Turkey
Code Contest 82,2,user0822,Canada
Code Contest 82,3,user0823,Argentina
Code Contest 82,4,user0824,Norway
Code Contest 82,5,user0825,Ireland
Code Contest 82,6,user0826,Argentina
Code Contest 82,7,user0827,Malaysia
Code Contest 82,8,user0828,Hungary
Code Contest 82,9,user0829,Finland
Code Contest 82,10,user08210,Finland
Code Contest 83,1,user0831,Malaysia
Code Contest 83,2,user0832,South Korea
Code Contest 83,3,user0833,Australia
Code Contest 83,4,user0834,Mexico
Code Contest 83,5,user0835,Canada
Code Contest 83,6,user0836,Indonesia
Code Contest 83,7,user0837,Denmark
Code Contest 83,8,user0838,Vietnam
Code Contest 83,9,user0839,Vietnam
Code Contest 83,10,user08310,Thailand
Code Contest 84,1,user0841,Japan
Code Contest 84,2,user0842,South Africa
Code Contest 84,3,user0843,USA
Code Contest 84,4,user0844,Greece
Code Contest 84,5,user0845,Greece
Code Contest 84,6,user0846,South Korea
Code Contest 84,7,user0847,Philippines
Code Contest 84,8,user0848,Belgium
Code Contest 84,9,user0849,South Korea
Code Contest 84,10,user08410,Malaysia
Code Contest 85,1,user0851,Thailand
Code Contest 85,2,user0852,Hungary
Code Contest 85,3,user0853,Thailand
Code Contest 85,4,user0854,Brazil
Code Contest 85,5,user0855,Italy
Code Contest 85,6,user0856,Italy
Code Contest 85,7,user0857,Netherlands
Code Contest 85,8,user0858,Australia
Code Contest 85,9,user0859,France
Code Contest 85,10,user08510,Mexico
Code Contest 86,1,user0861,Germany
Code Contest 86,2,user0862,Indonesia
Code Contest 86,3,user0863,Argentina
Code Contest 86,4,user0864,France
Code Contest 86,5,user0865,Poland
Code Contest 86,6,user0866,Denmark
Code Contest 86,7,user0867,Greece
Code Contest 86,8,user0868,Vietnam
Code Contest 86,9,user0869,Turkey
Code Contest 86,10,user08610,Slovakia
Code Contest 87,1,user0871,Czech Republic
Code Contest 87,2,user0872,Japan
Code Contest 87,3,user0873,Slovakia
Code Contest 87,4,user0874,Slovakia
Code Contest 87,5,user0875,Israel
Code Contest 87,6,user0876,Argentina
Code Contest 87,7,user0877,Japan
Code Contest 87,8,user0878,Netherlands
Code Contest 87,9,user0879,Philippines
Code Contest 87,10,user08710,India
Code Contest 88,1,user0881,Belgium
Code Contest 88,2,user0882,Canada
Code Contest 88,3,user0883,Singapore
Code Contest 88,4,user0884,Japan
Code Contest 88,5,user0885,Finland
Code Contest 88,6,user0886,New Zealand
Code Contest 88,7,user0887,Finland
Code Contest 88,8,user0888,Argentina
Code Contest 88,9,user0889,Hungary
Code Contest 88,10,user08810,France
Code Contest 89,1,user0891,South Korea
Code Contest 89,2,user0892,Vietnam
Code Contest 89,3,user0893,Malaysia
Code Contest 89,4,user0894,Slovakia
Code Contest 89,5,user0895,Greece
Code Contest 89,6,user0896,Canada
Code Contest 89,7,user0897,Israel
Code Contest 89,8,user0898,South Korea
Code Contest 89,9,user0899,Norway
Code Contest 89,10,user08910,New Zealand
Code Contest 90,1,user0901,Chile
Code Contest 90,2,user0902,Singapore
Code Contest 90,3,user0903,Ireland
Code Contest 90,4,user0904,Greece
Code Contest 90,5,user0905,Australia
Code Contest 90,6,user0906,Vietnam
Code Contest 90,7,user0907,Czech Republic
Code Contest 90,8,user0908,Belgium
Code Contest 90,9,user0909,Spain
Code Contest 90,10,user09010,Vietnam
Code Contest 91,1,user0911,Netherlands
Code Contest 91,2,user0912,Portugal
Code Contest 91,3,user0913,Australia
Code Contest 91,4,user0914,Japan
Code Contest 91,5,user0915,Malaysia
Code Contest 91,6,user0916,Philippines
Code Contest 91,7,user0917,Portugal
Code Contest 91,8,user0918,New Zealand
Code Contest 91,9,user0919,Malaysia
Code Contest 91,10,user09110,Czech Republic
Code Contest 92,1,user0921,Germany
Code Contest 92,2,user0922,Turkey
Code Contest 92,3,user0923,South Africa
Code Contest 92,4,user0924,Greece
Code Contest 92,5,user0925,New Zealand
Code Contest 92,6,user0926,Germany
Code Contest 92,7,user0927,Philippines
Code Contest 92,8,user0928,Belgium
Code Contest 92,9,user0929,Ireland
Code Contest 92,10,user09210,Australia
Code Contest 93,1,user0931,Turkey
Code Contest 93,2,user0932,Switzerland
Code Contest 93,3,user0933,Denmark
Code Contest 93,4,user0934,Sweden
Code Contest 93,5,user0935,Spain
Code Contest 93,6,user0936,Brazil
Code Contest 93,7,user0937,France
Code Contest 93,8,user0938,Sweden
Code Contest 93,9,user0939,Denmark
Code Contest 93,10,user09310,Ireland
Code Contest 94,1,user0941,Slovakia
Code Contest 94,2,user0942,Norway
Code Contest 94,3,user0943,Indonesia
Code Contest 94,4,user0944,Czech Republic
Code Contest 94,5,user0945,Israel
Code Contest 94,6,user0946,Australia
Code Contest 94,7,user0947,Spain
Code Contest 94,8,user0948,Netherlands
Code Contest 94,9,user0949,Spain
Code Contest 94,10,user09410,Canada
Code Contest 95,1,user0951,Norway
Code Contest 95,2,user0952,Chile
Code Contest 95,3,user0953,Poland
Code Contest 95,4,user0954,Singapore
Code Contest 95,5,user0955,Israel
Code Contest 95,6,user0956,Denmark
Code Contest 95,7,user0957,Hungary
Code Contest 95,8,user0958,India
Code Contest 95,9,user0959,South Africa
Code Contest 95,10,user09510,United Kingdom
Code Contest 96,1,user0961,Thailand
Code Contest 96,2,user0962,Ireland
Code Contest 96,3,user0963,Greece
Code Contest 96,4,user0964,Hungary
Code Contest 96,5,user0965,Italy
Code Contest 96,6,user0966,New Zealand
Code Contest 96,7,user0967,Indonesia
Code Contest 96,8,user0968,China
Code Contest 96,9,user0969,Slovakia
Code Contest 96,10,user09610,Greece
Code Contest 97,1,user0971,Ireland
Code Contest 97,2,user0972,Canada
Code Contest 97,3,user0973,Portugal
Code Contest 97,4,user0974,Vietnam
Code Contest 97,5,user0975,Mexico
Code Contest 97,6,user0976,France
Code Contest 97,7,user0977,South Korea
Code Contest 97,8,user0978,Indonesia
Code Contest 97,9,user0979,Poland
Code Contest 97,10,user09710,Indonesia
Code Contest 98,1,user0981,Denmark
Code Contest 98,2,user0982,Australia
Code Contest 98,3,user0983,Japan
Code Contest 98,4,user0984,Canada
Code Contest 98,5,user0985,Israel
Code Contest 98,6,user0986,Canada
Code Contest 98,7,user0987,Finland
Code Contest 98,8,user0988,Ireland
Code Contest 98,9,user0989,Slovakia
Code Contest 98,10,user09810,Chile
Code Contest 99,1,user0991,New Zealand
Code Contest 99,2,user0992,Denmark
Code Contest 99,3,user0993,Turkey
Code Contest 99,4,user0994,Turkey
Code Contest 99,5,user0995,Mexico
Code Contest 99,6,user0996,Israel
Code Contest 99,7,user0997,Indonesia
Code Contest 99,8,user0998,Finland
Code Contest 99,9,user0999,USA
Code Contest 99,10,user09910,India
Code Contest 100,1,user1001,Vietnam
Code Contest 100,2,user1002,Chile
Code Contest 100,3,user1003,China
Code Contest 100,4,user1004,Argentina
Code Contest 100,5,user1005,New Zealand
Code Contest 100,6,user1006,Denmark
Code Contest 100,7,user1007,Sweden
Code Contest 100,8,user1008,Chile
Code Contest 100,9,user1009,New Zealand
Code Contest 100,10,user10010,Poland
